Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	003721	15:59:20,358.456.370	74	-0.302	19.258	0.898	2.489	19.748	18.435	6.287	1.204
1	003731	15:59:20,423.801.560	438	1.588	-11.149	2.353	4.225	31.188	5.941	10.592	0.192
1	003784	15:59:20,631.011.800	76	0.710	33.459	1.234	2.152	30.789	27.278	4.314	1.089
1	003820	15:59:20,812.680.480	361	-0.087	-2.098	1.399	3.500	26.513	2.090	3.068	0.079
1	003824	15:59:20,826.038.080	104	-0.313	6.004	1.643	9.195	17.150	5.729	16.027	0.341
1	003868	15:59:21,082.176.130	1575	4.943	-61.226	4.115	5.000	15.091	12.141	44.493	0.935
1	003887	15:59:21,171.254.290	71	-0.101	2.760	0.965	1.874	12.758	2.746	1.260	0.217
1	003891	15:59:21,190.716.210	627	3.296	32.566	3.114	4.329	11.110	9.456	22.322	1.018
1	003893	15:59:21,207.712.030	55	1.406	-19.208	1.193	1.484	27.823	11.132	1.427	0.412
1	003907	15:59:21,283.266.260	49	-0.167	-24.451	1.124	1.572	25.581	24.116	3.172	1.231
1	003923	15:59:21,368.178.850	48	0.388	-5.072	1.224	1.983	18.453	4.728	1.778	0.259
1	003932	15:59:21,402.173.930	67	-4.961	22.883	1.077	2.321	14.685	4.522	1.636	0.313
1	003937	15:59:21,420.904.480	84	-2.711	24.899	0.954	5.672	14.555	8.617	11.959	0.634
1	003947	15:59:21,515.402.890	1510	1.706	-61.994	2.052	3.308	33.240	31.349	16.290	1.232
1	003975	15:59:21,680.135.200	184	-3.800	-86.329	1.697	3.238	32.937	21.970	8.646	0.730
1	003988	15:59:21,780.791.430	400	0.893	-46.518	1.813	4.465	34.899	34.698	18.442	1.463
1	004018	15:59:21,976.975.780	160	0.146	18.079	1.403	3.180	24.716	17.889	8.257	0.809
1	004020	15:59:21,985.172.150	119	-0.792	10.041	1.199	5.678	10.152	7.871	19.558	0.887
1	004026	15:59:22,008.138.390	69	1.066	0.610	0.966	2.484	23.838	0.417	1.211	0.017
1	004042	15:59:22,087.599.120	75	0.107	2.752	1.429	15.204	19.243	2.737	6.581	0.143
1	004053	15:59:22,152.467.780	117	0.250	20.952	0.793	2.104	23.067	20.328	4.316	1.078
1	004070	15:59:22,218.900.270	537	-0.738	-0.029	1.947	3.749	7.210	0.024	7.728	0.003
1	004082	15:59:22,276.491.800	99	0.040	22.116	0.964	2.253	22.744	22.098	7.017	1.332
1	004086	15:59:22,291.038.490	174	0.064	-8.336	1.499	2.878	8.410	8.319	8.429	1.424
1	004100	15:59:22,373.360.500	82	-1.024	-3.470	1.252	3.684	17.795	2.424	2.114	0.137
1	004102	15:59:22,381.437.540	87	1.714	-34.738	1.103	3.594	17.808	17.502	12.620	1.385
1	004106	15:59:22,424.879.780	72	-1.217	13.415	0.700	12.250	18.363	8.516	30.694	0.482
1	004115	15:59:22,456.381.690	81	0.402	-12.651	1.298	1.993	14.705	11.740	3.426	0.925
1	004120	15:59:22,506.265.990	244	0.402	-25.481	1.310	5.009	29.092	23.642	19.479	0.949
1	004123	15:59:22,516.211.500	57	-0.463	7.454	1.229	7.924	20.342	6.764	7.796	0.339
1	004155	15:59:22,673.678.630	105	0.521	24.728	1.259	2.047	22.728	21.930	4.409	1.305
1	004185	15:59:22,817.192.500	85	-4.939	9.945	1.052	3.615	28.304	1.974	1.404	0.070
1	004189	15:59:22,854.966.910	45	1.310	9.684	1.138	1.687	24.179	5.877	1.260	0.246
1	004197	15:59:22,896.471.000	95	-3.418	74.485	1.037	1.648	30.091	20.914	1.973	0.768
1	004211	15:59:22,952.228.720	85	-4.194	37.980	1.183	10.197	22.064	8.810	14.838	0.411
1	004226	15:59:23,019.164.570	531	0.445	-7.551	2.721	4.965	16.384	6.898	16.023	0.435
1	004237	15:59:23,067.478.230	69	-0.220	-9.065	1.150	1.518	21.760	8.855	1.366	0.419
1	004249	15:59:23,135.437.510	257	3.702	17.512	1.121	4.173	14.596	4.567	5.149	0.318
1	004283	15:59:23,259.797.620	71	0.221	1.754	1.895	16.498	20.587	1.712	4.991	0.083
1	004316	15:59:23,393.293.600	320	-3.562	-26.317	1.511	10.460	12.486	7.114	80.938	0.606
1	004333	15:59:23,487.937.630	86	0.546	-2.002	1.780	9.405	9.561	1.758	7.944	0.185
1	004341	15:59:23,517.734.310	69	21.072	-393.899	1.253	1.920	25.107	18.672	2.973	0.839
1	004358	15:59:23,588.307.410	1252	0.468	6.890	1.866	5.465	17.111	6.240	12.056	0.373
1	004377	15:59:23,748.462.190	72	1.310	9.820	1.154	1.648	24.080	5.958	1.260	0.250
1	004382	15:59:23,773.660.310	81	-6.215	-33.122	1.406	3.431	6.686	5.262	8.574	0.906
1	004439	15:59:24,003.059.940	206	0.090	9.074	1.133	4.315	23.787	9.038	5.059	0.390
1	004485	15:59:24,207.454.920	55	-2.412	-50.931	1.179	1.599	22.164	19.503	2.868	1.076
1	004490	15:59:24,225.815.250	104	2.751	-17.692	1.012	2.621	19.379	6.044	1.928	0.317
1	004513	15:59:24,311.928.240	170	1.454	-5.489	3.078	6.319	27.925	3.110	11.166	0.112
